date,open,high,low,close,volume
2025-05-29 15:54:00,589.16,589.37,588.96,589.34,578177.0
2025-05-29 15:55:00,589.35,589.7,589.2075,589.4188,963077.0
2025-05-29 15:56:00,589.42,589.84,589.37,589.64,494688.0
2025-05-29 15:57:00,589.64,589.9,589.62,589.8,471493.0
2025-05-29 15:58:00,589.8,590.07,589.8,590.02,459743.0
2025-05-29 15:59:00,590.03,590.16,589.47,590.0,1531497.0
2025-05-29 16:00:00,590.0,590.27,589.7,589.7295,1863717.0
2025-05-29 16:01:00,589.73,590.06,586.6667,589.93,39008.0
2025-05-29 16:02:00,589.92,589.96,589.79,589.85,57991.0
2025-05-29 16:03:00,589.88,589.88,589.67,589.7,74718.0
2025-05-29 16:04:00,589.73,590.05,589.58,589.585,50045.0
2025-05-29 16:05:00,589.6,590.05,589.39,589.4,903139.0
2025-05-29 16:06:00,589.4197,589.45,589.2,589.33,72730.0
2025-05-29 16:07:00,589.31,590.0464,589.2,589.3604,428402.0
2025-05-29 16:08:00,589.36,589.4,587.6892,589.35,148050.0
2025-05-29 16:09:00,589.3495,590.05,589.31,589.39,59605.0
2025-05-29 16:10:00,590.05,590.05,589.29,589.49,818431.0
2025-05-29 16:11:00,589.51,589.63,589.39,589.4501,67937.0
2025-05-29 16:12:00,589.46,590.0517,589.4,589.53,1848609.0
2025-05-29 16:13:00,589.49,589.56,589.46,589.47,6459.0
2025-05-29 16:14:00,589.49,589.59,589.44,589.44,31050.0
2025-05-29 16:15:00,589.45,590.05,589.45,589.63,17271.0
2025-05-29 16:16:00,589.65,589.68,589.52,589.52,6545.0
2025-05-29 16:17:00,589.52,589.62,589.52,589.61,4679.0
2025-05-29 16:18:00,589.6,589.68,589.6,589.65,3531.0
2025-05-29 16:19:00,589.679,589.8,589.679,589.79,3794.0
2025-05-29 16:20:00,589.79,589.83,589.75,589.77,4620.0
2025-05-29 16:21:00,589.76,589.8394,589.76,589.805,5539.0
2025-05-29 16:22:00,589.83,590.0,589.26,589.72,39174.0
2025-05-29 16:23:00,589.71,589.86,589.71,589.7201,20893.0
2025-05-29 16:24:00,589.76,589.78,589.7,589.75,6749.0
2025-05-29 16:25:00,589.78,589.87,589.75,589.8403,72515.0
2025-05-29 16:26:00,589.855,590.0,589.841,590.0,19024.0
2025-05-29 16:27:00,590.0,590.05,589.86,589.86,30781.0
2025-05-29 16:28:00,589.88,589.94,589.86,589.92,1759.0
2025-05-29 16:29:00,589.91,589.98,589.8618,589.9,2264.0
2025-05-29 16:30:00,589.9,589.91,589.82,589.875,5853.0
2025-05-29 16:31:00,589.9,590.04,589.9,590.01,3161.0
2025-05-29 16:32:00,590.0101,590.08,589.985,589.985,4201.0
2025-05-29 16:33:00,589.97,589.99,589.941,589.96,1576.0
2025-05-29 16:34:00,589.97,589.9793,589.8401,589.85,2258.0
2025-05-29 16:35:00,589.87,589.8996,589.76,589.7799,8128.0
2025-05-29 16:36:00,589.75,589.83,589.75,589.7799,1537.0
2025-05-29 16:37:00,589.7981,589.86,589.7597,589.85,5511.0
2025-05-29 16:38:00,589.85,589.88,589.83,589.835,3096.0
2025-05-29 16:39:00,589.85,589.95,589.84,589.93,2398.0
2025-05-29 16:40:00,589.91,589.92,589.85,589.88,5379.0
2025-05-29 16:41:00,589.87,589.89,589.85,589.87,957.0
2025-05-29 16:42:00,589.85,589.85,589.69,589.69,6160.0
2025-05-29 16:43:00,589.72,589.75,589.65,589.68,4299.0
2025-05-29 16:44:00,589.66,589.73,589.66,589.68,605.0
2025-05-29 16:45:00,589.66,589.6986,589.5901,589.6,7765.0
2025-05-29 16:46:00,589.63,589.66,589.6,589.61,1327.0
2025-05-29 16:47:00,589.63,589.66,589.55,589.55,3941.0
2025-05-29 16:48:00,589.56,589.61,589.52,589.56,1343.0
2025-05-29 16:49:00,589.54,589.56,589.5,589.5,1930.0
2025-05-29 16:50:00,589.51,589.59,589.5,589.5899,12586.0
2025-05-29 16:51:00,589.58,589.58,589.4497,589.5,21176.0
2025-05-29 16:52:00,589.4993,589.4993,589.37,589.39,3271.0
2025-05-29 16:53:00,589.42,589.42,589.29,589.31,4841.0
2025-05-29 16:54:00,589.3195,589.37,589.3,589.33,1528.0
2025-05-29 16:55:00,589.3192,590.05,589.27,589.385,16676.0
2025-05-29 16:56:00,589.37,589.42,589.36,589.36,4594.0
2025-05-29 16:57:00,589.39,589.42,589.37,589.395,14367.0
2025-05-29 16:58:00,589.43,589.5,589.39,589.415,4169.0
2025-05-29 16:59:00,589.41,589.455,589.38,589.43,2382.0
2025-05-29 17:00:00,589.47,589.47,589.425,589.44,27.0
2025-05-29 17:01:00,589.42,627.0253,589.405,589.43,25.0
2025-05-29 17:02:00,589.38,589.47,589.38,589.45,5001.0
2025-05-29 17:03:00,589.45,589.47,589.43,589.45,66.0
2025-05-29 17:04:00,589.469,589.54,589.45,589.5,6197.0
2025-05-29 17:05:00,589.53,589.54,589.5,589.52,818.0
2025-05-29 17:06:00,589.52,589.54,589.5,589.5,1545.0
2025-05-29 17:07:00,589.5,590.05,589.5,589.52,102125.0
2025-05-29 17:08:00,589.52,589.54,589.38,589.5,1134.0
2025-05-29 17:09:00,589.52,589.54,589.5,589.54,574.0
2025-05-29 17:10:00,589.52,589.53,589.5,589.5,2647.0
2025-05-29 17:11:00,589.5292,590.05,589.5,589.5,178013.0
2025-05-29 17:12:00,589.5,589.5099,589.5,589.5,6818.0
2025-05-29 17:13:00,589.51,589.51,589.5,589.505,1370.0
2025-05-29 17:14:00,589.505,589.51,589.5,589.5,262.0
2025-05-29 17:15:00,589.5098,589.51,589.5,589.505,516.0
2025-05-29 17:16:00,589.51,589.51,589.5,589.5,550.0
2025-05-29 17:17:00,589.51,589.51,589.5,589.51,819.0
2025-05-29 17:18:00,589.53,589.53,589.5,589.5,437.0
2025-05-29 17:19:00,589.51,589.51,589.49,589.49,428.0
2025-05-29 17:20:00,589.46,589.5,589.43,589.5,540.0
2025-05-29 17:21:00,589.465,589.465,589.44,589.45,82.0
2025-05-29 17:22:00,589.44,589.4777,589.39,589.45,569.0
2025-05-29 17:23:00,589.39,589.45,589.39,589.45,55.0
2025-05-29 17:24:00,589.45,589.45,589.41,589.43,108.0
2025-05-29 17:25:00,589.43,589.43,589.33,589.36,160.0
2025-05-29 17:26:00,589.36,589.45,589.3525,589.4475,76.0
2025-05-29 17:27:00,589.4,589.45,589.35,589.4,469.0
2025-05-29 17:28:00,589.4,589.4,589.35,589.35,6.0
2025-05-29 17:29:00,589.4,589.45,589.4,589.4,261.0
2025-05-29 17:30:00,589.36,589.45,589.35,589.4,427.0
2025-05-29 17:31:00,589.4,589.46,589.35,589.44,176.0
2025-05-29 17:32:00,589.41,589.41,589.35,589.41,236.0
2025-05-29 17:33:00,589.41,589.41,589.38,589.38,283.0
2025-05-29 17:34:00,589.38,589.39,589.35,589.355,1095.0
2025-05-29 17:35:00,589.355,589.3592,589.33,589.33,434.0
2025-05-29 17:36:00,589.335,589.335,589.31,589.32,289.0
2025-05-29 17:37:00,589.31,589.32,589.3005,589.32,76.0
2025-05-29 17:38:00,589.315,589.35,589.3,589.35,839.0
2025-05-29 17:39:00,589.32,589.335,589.32,589.32,163.0
2025-05-29 17:40:00,589.335,589.335,589.2997,589.2997,1008.0
2025-05-29 17:41:00,589.3,589.3,589.2,589.2,4227.0
2025-05-29 17:42:00,589.28,589.32,589.25,589.32,1174.0
2025-05-29 17:43:00,589.25,589.32,589.1,589.1,118.0
2025-05-29 17:44:00,589.19,589.28,589.11,589.23,488.0
2025-05-29 17:45:00,589.23,589.28,589.178,589.178,1125.0
2025-05-29 17:46:00,589.178,589.29,589.1,589.15,2512.0
2025-05-29 17:47:00,589.2412,589.265,589.17,589.195,1013.0
2025-05-29 17:48:00,589.195,589.195,589.02,589.1,2382.0
2025-05-29 17:49:00,589.09,590.05,589.03,589.075,171386.0
2025-05-29 17:50:00,589.1,589.1,589.05,589.075,210.0
2025-05-29 17:51:00,589.075,589.1,589.05,589.075,771.0
2025-05-29 17:52:00,589.075,589.1,589.05,589.081,660.0
2025-05-29 17:53:00,589.075,589.1,589.05,589.07,2493.0
2025-05-29 17:54:00,589.075,589.19,589.05,589.1001,2491.0
2025-05-29 17:55:00,589.1,589.24,588.87,589.17,109.0
2025-05-29 17:56:00,589.22,589.22,589.1412,589.15,65.0
2025-05-29 17:57:00,589.15,589.15,589.05,589.0695,1954.0
2025-05-29 17:58:00,589.0512,589.17,589.05,589.125,1944.0
